D1,DS1,DpB,T1,T3,T4,P,M01,M02,TS1,YuntB
224.0,1636.0,222.0,84.0,82.07,80.87,320.61,90.61,67.56,34.2,0.17
189.0,1619.0,225.0,82.0,81.97,80.95,326.81,89.11,60.5,33.75,0.17
200.0,1626.0,241.0,84.0,81.68,80.96,321.94,90.26,69.67,34.91,0.16
169.0,1645.0,190.0,83.0,82.0,80.94,332.07,88.19,83.45,33.8,0.16
224.0,1632.0,242.0,86.0,82.03,81.25,321.29,91.75,66.5,34.08,0.17
225.0,1638.0,242.0,86.0,82.09,81.47,324.31,91.24,70.48,33.18,0.17
215.0,1636.0,245.0,84.0,81.88,81.24,316.43,92.66,79.34,34.33,0.16
243.0,1626.0,271.0,85.0,82.23,80.88,314.99,93.11,91.06,34.26,0.18
245.0,1622.0,275.0,86.0,82.09,81.03,315.0,93.21,82.58,32.99,0.17
213.0,1650.0,228.0,86.0,82.41,81.62,318.48,90.38,65.97,33.05,0.16
251.0,1635.0,237.0,86.0,82.51,81.44,315.06,91.01,77.85,35.27,0.17
245.0,1637.0,262.0,85.0,82.04,81.23,314.05,91.89,73.73,33.22,0.17
211.0,1614.0,248.0,85.0,81.95,80.64,323.38,88.92,85.62,34.71,0.17
